hospital,procedure_name,code_type,code,description,setting,display_price,display_price_type,gross_price,cash_price,negotiated_price,negotiated_min,negotiated_max,payer_name,plan_name,data_quality_flag,user_relevance_flag,user_relevance_reason,source_url,evidence_source
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,2662.05,negotiated,4058.0,2231.9,2662.05,164.02,5478.3,SHARP COMMUNITY MED GRP [1078],SHARP HEALTH CARE,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,1704.36,negotiated,4058.0,2231.9,1704.36,164.02,5478.3,BLUE CROSS [1013],BLUE CROSS UC CARE,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,164.02,negotiated,4058.0,2231.9,164.02,164.02,5478.3,MID COUNTY PHYSICIANS MED GRP [1054],MID-COUNTY PHYSICIANS MEDICAL GROUP,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,1899.14,negotiated,4058.0,2231.9,1899.14,164.02,5478.3,ALTERNATE HEALTHNET [1007],HEALTH NET BLUE & GOLD,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,2682.34,negotiated,4058.0,2231.9,2682.34,164.02,5478.3,ALTERNATE HEALTHNET [1007],HEALTH NET COMMERCIAL,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,4058.0,negotiated,4058.0,2231.9,4058.0,164.02,5478.3,ALTERNATE HEALTHNET [1007],HEALTH NET MEDICARE ADVANTAGE UC EMPLOYER GROUP,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,2637.7,negotiated,4058.0,2231.9,2637.7,164.02,5478.3,INTERLINK HEALTH SERVICES TRANSPLANT [1124],INTERLINK HEALTH SERVICES INC,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,2662.05,negotiated,4058.0,2231.9,2662.05,164.02,5478.3,SHARP HEALTH PLAN [1079],SHARP HEALTH CARE,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,2840.6,negotiated,4058.0,2231.9,2840.6,164.02,5478.3,UNITED HEALTHCARE [1088],US BEHAVIORAL MENTAL/EATING DISORDER,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,1273.81,negotiated,4058.0,2231.9,1273.81,164.02,5478.3,BLUE CROSS [1013],BLUE CROSS OF CALIFORNA PRIORITY SELECT,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
