hospital_name,hospital_system,region,mrf_url,hospital_engine_status,procedure_name,code_type,procedure_code,care_setting,is_primary,scan_priority,scan_status,local_path,local_scan_status,match_count,search_ready_count,scan_scope
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,COVID test,CPT,87426,outpatient,false,2,queued,C:\Users\sam\Documents\healthscan\data\raw\mrf\cedars-sinai-standardcharges.json,matched,47,47,large_local_json
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Sleep study,CPT,95810,outpatient,true,1,queued,C:\Users\sam\Documents\healthscan\data\raw\mrf\cedars-sinai-standardcharges.json,matched,3,3,large_local_json
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Sleep study,CPT,95811,outpatient,false,2,queued,C:\Users\sam\Documents\healthscan\data\raw\mrf\cedars-sinai-standardcharges.json,matched,2,2,large_local_json
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Tonsillectomy,CPT,42826,outpatient,true,1,queued,C:\Users\sam\Documents\healthscan\data\raw\mrf\cedars-sinai-standardcharges.json,matched,5,5,large_local_json
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Tonsillectomy,CPT,42825,outpatient,false,2,queued,C:\Users\sam\Documents\healthscan\data\raw\mrf\cedars-sinai-standardcharges.json,matched,5,5,large_local_json
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Mastectomy,CPT,19303,outpatient,true,1,queued,C:\Users\sam\Documents\healthscan\data\raw\mrf\cedars-sinai-standardcharges.json,matched,5,5,large_local_json
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Mastectomy,CPT,19301,outpatient,false,2,queued,C:\Users\sam\Documents\healthscan\data\raw\mrf\cedars-sinai-standardcharges.json,matched,5,5,large_local_json
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Prostate biopsy,CPT,55700,outpatient,true,1,queued,C:\Users\sam\Documents\healthscan\data\raw\mrf\cedars-sinai-standardcharges.json,matched,5,5,large_local_json
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Gallbladder removal,CPT,47562,outpatient,true,1,queued,C:\Users\sam\Documents\healthscan\data\raw\mrf\ucla-ronald-reagan-standardcharges.json,matched,24,24,large_local_json
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Gallbladder removal,CPT,47563,outpatient,false,2,queued,C:\Users\sam\Documents\healthscan\data\raw\mrf\ucla-ronald-reagan-standardcharges.json,matched,21,21,large_local_json
